yogafire 2017-04-07 00:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2952 1790488 295116 426276    0    0     0    19  100   68  0  0 100  0
 1  0   2952 1790488 295128 426280    0    0     0     5  110   69  0  0 100  0
 2  0   2952 1790868 295136 426280    0    0     0     5  114   74  0  0 100  0
 0  0   2952 1791116 295136 426284    0    0     0     6  108   73  0  0 100  0
 0  0   2952 1791116 295144 426284    0    0     0     2   90   65  0  0 100  0
 0  0   2952 1793768 295148 426284    0    0     0     6  118   69  0  0 100  0
 0  0   2952 1795272 295156 426288    0    0     0     1  124   74  0  0 100  0
 0  0   2952 1795272 295172 426292    0    0     0    10  149   99  0  1 99  0
 0  0   2952 1795272 295176 426292    0    0     0     1  106   78  0  0 100  0
 0  0   2952 1795272 295184 426292    0    0     0     5   89   72  0  0 100  0
 0  0   2952 1795272 295184 426292    0    0     0     1  102   75  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2952 1795264 295196 426288    0    0     0     8  151   97  0  2 98  0
 0  0   2952 1795264 295204 426296    0    0     0     5   97   66  0  0 100  0
 0  0   2952 1795264 295212 426296    0    0     0     2   93   71  0  0 100  0
 0  0   2952 1795140 295220 426296    0    0     0     1  104   67  0  0 100  0
 0  0   2952 1794520 295228 426296    0    0     0    10  133   86  0  1 99  0
 0  0   2952 1794520 295236 426296    0    0     0     1   91   67  0  0 100  0
 0  0   2952 1794520 295244 426296    0    0     0     3   81   63  0  0 100  0
 0  0   2952 1791496 295336 426424    0    0    10    31  209  134  0  1 99  0
 0  0   2952 1791496 295364 426432    0    0     0    15  110   75  0  0 100  0
 0  0   2952 1791124 295392 426848    0    0    29    19  111   78  0  0 99  0
 0  0   2952 1790504 295616 427748    0    0    70    16  168  117  1  1 98  1
 0  0   2952 1790984 295628 427768    0    0     1    18  169  101  1  1 98  0
 0  0   2952 1791008 295644 427768    0    0     0    21  109   75  0  0 100  0
 0  0   2952 1791008 295648 427768    0    0     0     1   95   68  0  0 100  0
 0  0   2952 1792900 295656 427768    0    0     0     1   89   68  0  0 100  0
 3  1   2952 1794288 295664 427768    0    0     0     3  109   77  0  1 99  0
 0  0   2952 1786420 295792 433004    0    0   352    33  258  160  1  1 97  1
 0  0   2952 1786420 295800 432980    0    0     0    16   95   68  0  0 100  0
 0  0   2952 1786420 295812 432980    0    0     0     4   86   70  0  0 100  0
 0  0   2952 1785224 295820 432984    0    0     0     1  119   84  0  1 99  0
 0  0   2952 1785304 295828 432996    0    0     0    14  121   84  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2952 1785304 295836 432996    0    0     0     1   90   75  0  0 100  0
 0  0   2952 1785304 295844 432996    0    0     0     6  114   86  0  0 100  0
 0  0   2952 1787396 295852 432996    0    0     0     4  137   85  0  1 99  0
 0  0   2952 1787584 295860 432996    0    0     0     5  100   73  0  0 100  0
 0  0   2952 1787584 295868 432996    0    0     0     1   87   62  0  0 100  0
 0  0   2952 1787584 295884 432996    0    0     0     8   96   71  0  0 100  0
 2  0   2952 1786676 295976 433020    0    0     7    11  123   78  0  0 99  0
 0  0   2952 1786320 295984 433020    0    0     0    13  122   78  0  1 99  0
 0  0   2952 1785304 296072 433096    0    0     5    67  165  109  1  0 99  0
 0  0   2952 1785428 296080 433096    0    0     0     6   86   63  0  0 100  0
 0  0   2952 1785428 296096 433096    0    0     0    11  113   76  0  0 100  0
 0  0   2952 1784808 296124 433316    0    0     1    28  195  110  1  1 98  0
 0  0   2952 1784816 296132 433316    0    0     0     1  107   69  0  0 100  0
 0  0   2952 1784816 296148 433316    0    0     0    13   95   70  0  0 100  0
 0  0   2952 1784700 296152 433316    0    0     0     1  145   96  0  1 99  0
 0  0   2952 1785072 296160 433320    0    0     0    12  119   79  0  0 100  0
